Id,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Cover_Type,Soil_Type,Wilderness_Area,Hillshade
2926,2068,68,30,67,39,247,418,4,10,4,9am
2927,2029,61,27,30,26,240,443,4,3,4,Noon
2928,2016,5,22,0,0,240,458,4,4,4,3pm
2929,2075,282,28,95,71,247,531,3,10,4,9am
2930,2255,16,34,127,59,659,469,6,10,4,Noon
2931,2256,323,30,95,60,726,566,6,10,4,3pm
2932,2245,9,33,228,64,849,725,6,10,4,9am
2933,2246,22,28,371,65,842,864,6,10,4,Noon
2934,2052,55,27,150,37,484,576,3,6,4,3pm
2935,3280,223,11,484,53,4218,2115,7,23,1,9am
2936,2877,278,13,0,0,2066,1006,5,19,3,Noon
2937,3007,292,20,85,12,571,997,2,24,3,3pm
2938,2706,316,13,0,0,1191,1339,6,20,3,9am
2939,2083,313,17,0,0,180,684,4,14,4,Noon
2940,2207,251,21,319,163,361,850,3,1,4,3pm
2941,2299,307,26,342,-13,531,691,3,10,4,9am
2942,2067,45,14,30,-4,1116,390,4,17,4,Noon
2943,2069,278,12,0,0,1134,402,4,17,4,3pm
2944,2313,299,29,108,23,808,674,3,6,4,9am
2945,2113,55,30,134,69,309,365,4,10,4,Noon
2946,2040,106,28,30,11,272,402,4,3,4,3pm
2947,1948,347,13,0,0,180,558,3,10,4,9am
2948,2035,312,39,162,129,255,426,3,10,4,Noon
2949,2281,325,19,234,128,631,408,3,6,4,3pm
2950,2277,13,31,170,81,671,467,6,6,4,9am
2951,3285,206,11,450,58,4124,2188,7,23,1,Noon
2952,3293,218,12,454,66,4066,2222,7,23,1,3pm
2953,2866,310,11,30,2,2106,940,5,33,3,9am
2954,2870,295,12,30,6,2080,968,5,33,3,Noon
2955,3006,13,20,150,22,190,1262,2,24,3,3pm
2956,2977,33,20,297,29,300,1342,2,24,3,9am
2957,2092,300,29,30,8,210,655,3,10,4,Noon
2958,2417,68,21,150,38,947,685,3,10,4,3pm
2959,2304,124,15,361,16,930,642,3,2,4,9am
2960,2239,341,17,295,104,1176,666,3,6,4,Noon
2961,2171,27,38,285,120,446,351,3,10,4,3pm
2962,2140,63,34,150,89,350,331,4,10,4,9am
2963,2119,83,34,124,68,335,335,4,10,4,Noon
2964,2079,102,35,67,35,313,351,4,3,4,3pm
2965,2054,98,34,42,10,306,362,4,3,4,9am
2966,2096,323,17,150,92,313,511,3,10,4,Noon
2967,2032,35,33,85,12,242,663,3,1,4,3pm
2968,1979,289,30,60,37,218,531,3,10,4,9am
2969,2265,311,20,324,130,566,390,3,6,4,Noon
2970,2292,16,29,212,96,850,700,6,6,4,3pm
2971,2752,89,28,150,55,1040,1215,2,13,3,9am
2972,2138,46,30,192,71,242,732,3,10,4,Noon
2973,2137,218,23,295,91,335,870,3,1,4,3pm
2974,2252,257,28,424,204,467,830,3,1,4,9am
2975,2416,102,13,175,37,977,711,3,6,4,Noon
2976,2360,69,22,277,31,960,782,3,10,4,3pm
2977,2078,6,9,0,0,1182,457,4,17,4,9am
2978,2084,291,15,30,11,1200,470,3,17,4,Noon
2979,2258,298,21,258,92,1149,732,3,6,4,3pm
2980,2183,12,28,218,132,426,306,3,10,4,9am
2981,2168,75,31,162,117,391,300,4,10,4,Noon
2982,2145,90,38,134,94,376,301,4,3,4,3pm
2983,2117,96,38,108,66,362,306,4,3,4,9am
2984,2094,100,37,85,43,351,313,4,3,4,Noon
2985,2055,90,26,30,11,335,335,4,3,4,3pm
2986,2044,13,14,0,0,331,350,4,3,4,9am
2987,2110,334,19,216,106,362,541,3,10,4,Noon
2988,2031,59,34,42,11,256,691,3,1,4,3pm
2989,2029,291,41,120,94,268,511,3,10,4,9am
2990,2304,15,28,255,108,892,741,6,6,4,Noon
2991,2300,16,27,277,119,912,767,6,10,4,3pm
2992,2282,51,20,335,84,840,854,3,6,4,9am
2993,2035,39,23,210,56,390,450,3,6,4,Noon
2994,3281,224,15,395,54,4054,2271,7,23,1,3pm
2995,2889,297,15,90,25,2026,983,5,33,3,9am
2996,2987,17,6,134,10,1410,1663,2,31,3,Noon
2997,2981,9,20,162,25,513,1282,2,24,3,3pm
2998,2389,83,22,268,27,992,799,3,10,4,9am
2999,2338,103,25,339,17,990,750,3,10,4,Noon
3000,2081,76,2,0,0,1207,485,4,17,4,3pm
3001,2226,256,37,270,142,1284,636,3,10,4,9am
3002,2333,273,27,90,43,845,631,3,6,4,Noon
3003,2339,106,29,210,49,741,525,3,6,4,3pm
3004,2137,94,40,124,86,402,272,4,3,4,9am
3005,2114,90,37,95,63,390,277,4,3,4,Noon
3006,2067,96,35,42,16,371,295,4,3,4,3pm
3007,2013,293,36,95,65,285,553,3,10,4,9am
3008,2314,324,21,277,118,700,499,3,6,4,Noon
3009,2313,353,25,218,117,841,661,6,6,4,3pm
3010,3267,124,21,553,40,4553,2061,7,38,1,9am
3011,3286,219,9,379,59,3990,2330,7,23,1,Noon
3012,3302,217,9,573,80,3666,2532,1,23,1,3pm
3013,3385,222,28,674,262,3283,2801,1,39,1,9am
3014,2760,93,5,60,-16,360,1020,2,30,1,Noon
3015,2769,0,9,240,14,1400,655,2,31,3,3pm
3016,3005,118,17,170,47,518,1507,2,32,3,9am
3017,2981,40,14,90,14,228,480,2,31,3,Noon
3018,2719,53,18,30,11,1092,1348,6,23,3,3pm
3019,2906,319,9,162,25,1020,2105,2,31,3,9am
3020,2088,59,1,0,0,350,540,4,14,4,Noon
3021,2135,15,32,319,77,335,764,3,10,4,3pm
3022,2131,6,26,335,73,350,785,3,10,4,9am
3023,2314,217,24,430,-15,636,778,3,1,4,Noon
3024,2344,249,37,402,14,679,752,3,1,4,3pm
3025,2382,230,30,379,52,721,731,3,1,4,9am
3026,2085,114,24,0,0,1215,503,4,17,4,Noon
3027,2079,262,2,0,0,1231,513,4,17,4,3pm
3028,2099,288,24,60,21,1266,537,3,10,4,9am
3029,2220,272,37,270,136,1302,658,3,10,4,Noon
3030,2270,347,20,306,84,1211,745,3,6,4,3pm
3031,2282,11,40,361,-7,638,384,3,10,4,9am
3032,2248,36,34,330,197,552,300,3,10,4,Noon
3033,2212,58,27,240,161,492,256,4,10,4,3pm
3034,2184,90,30,180,133,458,242,4,3,4,9am
3035,2139,84,37,120,88,430,242,4,3,4,Noon
3036,2096,86,42,60,45,408,256,4,3,4,3pm
3037,2090,286,28,60,46,390,339,3,10,4,9am
3038,2098,26,30,95,-12,366,765,3,1,4,Noon
3039,2068,275,38,134,69,335,541,3,10,4,3pm
3040,2081,28,32,277,102,450,470,3,6,4,9am
3041,2995,36,9,190,18,1382,1657,1,19,3,Noon
3042,3049,25,20,283,58,124,1170,2,24,3,3pm
3043,2972,11,19,309,55,339,592,2,31,3,9am
3044,2188,21,36,268,111,331,661,3,10,4,Noon
3045,2178,23,37,283,95,335,680,3,10,4,3pm
3046,2081,144,13,0,0,1240,532,4,17,4,9am
3047,2084,275,8,30,0,1256,541,4,17,4,Noon
3048,2120,289,33,95,42,1308,577,3,10,4,3pm
3049,2172,308,33,182,100,1364,624,3,10,4,9am
3050,2320,228,17,150,47,1087,837,3,6,4,Noon
3051,2314,321,23,67,20,927,664,3,6,4,3pm
3052,2295,34,37,390,217,616,319,3,10,4,9am
3053,2198,95,29,210,147,499,218,4,3,4,Noon
3054,2183,100,32,180,132,484,212,4,3,4,3pm
3055,2161,100,35,150,110,470,210,4,3,4,9am
3056,2144,97,34,120,93,457,212,4,3,4,Noon
3057,2095,89,41,60,44,437,228,4,3,4,3pm
3058,2068,81,35,30,17,430,242,4,3,4,9am
3059,2298,111,16,242,100,845,859,3,6,4,Noon
3060,3267,246,14,306,40,4039,2347,7,23,1,3pm
3061,2809,316,26,592,54,1015,1266,2,28,3,9am
3062,3025,341,17,361,20,295,1273,2,24,3,Noon
3063,2092,106,19,0,0,450,488,4,14,4,3pm
3064,2127,341,16,95,32,371,488,3,10,4,9am
3065,2187,230,29,499,144,541,942,3,1,4,Noon
3066,2323,38,28,400,245,658,324,4,10,4,3pm
3067,2309,60,31,376,231,636,300,4,10,4,9am
3068,2291,68,32,350,213,616,277,4,10,4,Noon
3069,2274,75,30,323,202,595,255,4,3,4,3pm
3070,2256,85,32,295,184,576,234,4,3,4,9am
3071,2235,93,33,268,163,558,216,4,3,4,Noon
3072,2196,102,33,212,128,525,190,4,3,4,3pm
3073,2094,92,35,67,43,466,201,4,3,4,9am
3074,2074,78,31,42,21,459,216,4,3,4,Noon
3075,2060,62,19,30,7,454,234,4,3,4,3pm
3076,2054,311,10,0,0,451,255,4,4,4,9am
3077,2114,34,34,268,105,443,446,3,6,4,Noon
3078,3248,170,4,404,21,4421,2190,7,38,1,3pm
3079,3278,210,8,309,51,3946,2421,7,23,1,9am
3080,2733,334,19,95,26,212,711,1,30,1,Noon
3081,2729,320,11,0,0,1091,1438,6,20,3,3pm
3082,2314,329,13,182,-10,90,722,2,10,4,9am
3083,2343,253,34,474,13,764,825,3,1,4,Noon
3084,2073,119,11,30,-1,1276,582,4,17,4,3pm
3085,2076,271,9,0,0,1291,589,4,17,4,9am
3086,2357,244,10,192,67,858,532,4,6,4,Noon
3087,2363,247,12,216,73,834,503,4,6,4,3pm
3088,2350,40,33,351,60,721,362,4,10,4,9am
3089,2341,61,25,379,51,700,335,4,10,4,Noon
3090,2328,93,26,390,241,679,309,4,10,4,3pm
3091,2292,105,32,335,214,638,258,4,3,4,9am
3092,2254,96,33,283,182,600,212,4,3,4,Noon
3093,2170,110,36,175,102,537,153,4,3,4,3pm
3094,2149,112,36,150,81,524,150,4,3,4,9am
3095,2130,111,35,127,62,513,153,4,3,4,Noon
3096,2110,107,32,108,59,503,162,4,3,4,3pm
3097,2094,99,29,85,41,495,175,4,3,4,9am
3098,2078,90,27,67,25,488,192,4,3,4,Noon
3099,2060,318,11,30,6,481,234,4,3,4,3pm
3100,2071,292,26,0,0,480,258,4,4,4,9am
3101,2151,351,18,210,87,495,446,3,10,4,Noon
3102,2162,51,23,85,40,492,769,3,1,4,3pm
3103,2033,52,27,67,37,390,722,3,10,4,9am
3104,2036,285,29,42,13,400,649,3,10,4,Noon
3105,2195,277,40,228,105,511,553,3,10,4,3pm
3106,2224,288,36,242,121,531,547,3,10,4,9am
3107,2340,212,15,342,83,816,633,3,6,4,Noon
3108,2141,33,30,258,132,457,466,3,6,4,3pm
3109,2117,38,32,228,108,402,408,3,6,4,9am
3110,3276,221,9,300,49,3912,2463,7,23,1,Noon
3111,3305,241,20,360,84,1917,3375,1,29,1,3pm
3112,2745,63,13,234,43,1718,306,1,31,3,9am
3113,2872,225,18,285,37,1077,1756,5,13,3,Noon
3114,2879,188,15,256,24,1061,1841,5,13,3,3pm
3115,2118,200,23,30,7,594,484,4,4,4,9am
3116,2121,179,25,30,3,573,470,4,4,4,Noon
3117,2118,154,21,0,0,553,457,4,4,4,3pm
3118,2249,6,27,319,165,420,573,3,10,4,9am
3119,2246,16,33,339,163,421,594,3,10,4,Noon
3120,2237,29,34,361,160,424,616,3,10,4,3pm
3121,2079,120,16,30,6,1288,607,4,1,4,9am
3122,2073,72,2,0,0,1302,612,4,17,4,Noon
3123,2202,281,31,210,124,1434,700,3,10,4,3pm
3124,2340,309,25,192,46,1101,789,3,6,4,9am
3125,2354,219,9,212,60,876,524,4,6,4,Noon
3126,2358,234,15,234,68,853,495,4,6,4,3pm
3127,2366,259,17,258,76,830,466,4,6,4,9am
3128,2380,62,27,335,90,764,379,4,10,4,Noon
3129,2364,86,32,362,74,743,351,4,3,4,3pm
3130,2280,125,35,323,202,661,242,4,3,4,9am
3131,2252,113,31,268,174,624,192,4,3,4,Noon
3132,2211,97,38,216,139,592,150,4,3,4,3pm
3133,2184,98,38,190,112,577,134,4,3,4,9am
3134,2161,102,37,162,89,564,124,4,3,4,Noon
3135,2140,105,36,134,72,552,120,4,3,4,3pm
3136,2103,109,30,85,35,532,134,4,3,4,9am
3137,2075,105,24,42,10,518,170,4,3,4,Noon
3138,2063,81,9,30,0,514,192,4,3,4,3pm
3139,2064,307,16,0,0,511,216,4,3,4,9am
3140,2196,359,23,175,35,616,671,3,10,4,Noon
3141,2035,281,28,30,12,430,674,3,10,4,3pm
3142,2178,291,36,190,88,516,589,3,10,4,9am
3143,2132,47,27,201,123,390,400,3,6,4,Noon
3144,3247,36,4,417,20,4473,2223,7,38,1,3pm
3145,3310,223,20,391,89,1879,3416,1,29,1,9am
3146,2997,279,12,360,83,1489,1470,2,31,3,Noon
3147,3036,323,15,306,56,424,1463,2,32,3,3pm
3148,2740,76,20,60,11,1008,1409,6,20,3,9am
3149,2863,210,20,297,92,1048,1766,5,13,3,Noon
3150,2913,337,14,228,39,1006,1995,2,32,3,3pm
3151,2114,75,7,0,0,726,552,4,14,4,9am
3152,2076,322,11,0,0,1329,641,4,17,4,Noon
3153,2083,309,23,30,10,1343,648,3,17,4,3pm
3154,2352,0,5,201,58,942,577,4,6,4,9am
3155,2348,192,9,234,54,895,518,4,6,4,Noon
3156,2363,254,24,277,73,850,459,4,6,4,3pm
3157,2381,250,24,300,91,828,430,4,6,4,9am
3158,2397,158,19,324,107,806,400,4,6,4,Noon
3159,2376,129,39,350,86,785,371,4,3,4,3pm
3160,2328,125,44,366,228,743,313,4,3,4,9am
3161,2304,126,40,350,213,722,285,4,3,4,Noon
3162,2285,128,38,335,198,703,256,4,3,4,3pm
3163,2266,130,36,313,179,684,228,4,3,4,9am
3164,2252,136,32,285,174,666,201,4,3,4,Noon
3165,2240,133,32,256,162,649,175,4,3,4,3pm
3166,2226,120,33,228,148,633,150,4,3,4,9am
3167,2183,98,38,175,111,604,108,4,3,4,Noon
3168,2161,98,38,150,89,591,95,4,3,4,3pm
3169,2117,101,33,95,49,569,95,4,3,4,9am
3170,2099,104,29,67,31,560,108,4,3,4,Noon
3171,2084,106,26,42,16,553,127,4,3,4,3pm
3172,2065,338,8,0,0,543,175,4,3,4,9am
3173,2073,312,24,0,0,541,201,4,4,4,Noon
3174,2141,293,28,124,77,541,342,3,10,4,3pm
3175,2175,337,20,242,111,560,459,3,10,4,9am
3176,2192,331,25,277,31,591,547,3,10,4,Noon
3177,2198,332,24,247,37,604,577,3,10,4,3pm
3178,2205,333,23,218,44,618,607,3,10,4,9am
3179,2090,37,28,108,28,451,660,3,10,4,Noon
3180,2141,143,26,175,132,379,395,3,6,4,3pm
3181,3250,32,9,376,23,4439,2262,7,38,1,9am
3182,3252,340,6,300,25,4350,2297,7,38,1,Noon
3183,3245,53,2,234,18,4261,2335,7,38,1,3pm
3184,2955,155,18,297,54,426,834,5,32,3,9am
3185,2825,83,25,190,79,865,1291,5,13,3,Noon
3186,2810,90,29,162,64,890,1317,5,13,3,3pm
3187,2790,95,32,134,51,916,1343,5,13,3,9am
3188,2771,96,29,108,32,942,1370,5,13,3,Noon
3189,2848,215,18,255,77,1026,1749,5,13,3,3pm
3190,2856,223,13,300,85,1012,1805,5,13,3,9am
3191,2121,0,9,0,0,768,553,4,14,4,Noon
3192,2126,2,36,30,15,618,417,3,14,4,3pm
3193,2161,333,36,85,53,537,365,3,10,4,9am
3194,2224,61,29,443,147,495,624,3,10,4,Noon
3195,2190,1,41,524,33,566,778,3,10,4,3pm
3196,2193,8,41,518,36,582,805,3,10,4,9am
3197,2078,326,9,0,0,1342,666,4,17,4,Noon
3198,2320,337,11,339,36,1262,912,3,2,4,3pm
3199,2360,257,11,228,66,1107,752,4,6,4,9am
3200,2365,57,21,212,71,1008,633,4,6,4,Noon
3201,2358,73,12,218,64,984,603,4,6,4,3pm
3202,2348,136,13,242,54,937,543,4,6,4,9am
3203,2342,180,12,258,48,914,514,4,6,4,Noon
3204,2372,213,21,319,82,849,424,4,6,4,3pm
3205,2348,136,46,366,58,806,365,4,3,4,9am
3206,2325,137,46,361,225,785,335,4,3,4,Noon
3207,2271,128,37,309,180,726,247,4,3,4,3pm
3208,2252,128,35,295,165,708,218,4,3,4,9am
3209,2238,134,32,277,151,691,190,4,3,4,Noon
3210,2199,119,33,190,121,644,108,4,3,4,3pm
3211,2153,103,38,134,81,618,67,4,3,4,9am
3212,2113,101,33,85,41,598,67,4,3,4,Noon
3213,2095,105,30,60,27,589,85,4,3,4,3pm
3214,2080,106,24,30,12,582,108,4,3,4,9am
3215,2068,74,6,0,0,577,134,4,3,4,Noon
3216,2073,312,18,0,0,573,162,4,4,4,3pm
3217,2290,119,34,134,61,1024,850,3,6,4,9am
3218,2254,121,34,108,56,964,891,3,6,4,Noon
3219,3252,2,8,335,25,4406,2301,7,38,1,3pm
3220,3227,187,34,371,104,2683,3132,2,29,1,9am
3221,3175,183,15,30,-12,2242,3290,1,29,1,Noon
3222,2963,181,26,190,45,297,778,5,13,3,3pm
3223,2958,156,24,216,45,339,808,5,13,3,9am
3224,2944,163,19,277,43,408,858,5,32,3,Noon
3225,2943,169,17,277,88,433,876,5,32,3,3pm
3226,2927,149,11,270,72,558,997,5,32,3,9am
3227,2916,135,11,270,61,616,1064,5,32,3,Noon
3228,2904,111,12,272,49,658,1110,5,32,3,3pm
3229,2741,262,13,0,0,1033,1489,6,20,3,9am
3230,2821,239,20,170,59,1025,1678,5,13,3,Noon
3231,2848,244,16,258,77,990,1788,5,13,3,3pm
3232,2371,274,24,350,46,210,778,3,10,4,9am
3233,2431,280,22,390,135,330,886,3,11,4,Noon
3234,2130,76,6,0,0,957,603,4,14,4,3pm
3235,2126,345,7,0,0,882,601,4,14,4,9am
3236,2128,2,11,0,0,858,603,4,14,4,Noon
3237,2235,40,28,467,152,524,607,3,10,4,3pm
3238,2076,275,3,0,0,1356,693,4,1,4,9am
3239,2170,273,28,175,95,1473,752,3,10,4,Noon
3240,2189,270,33,201,108,1489,765,3,10,4,3pm
3241,2310,300,22,400,238,1355,876,3,6,4,9am
3242,2343,233,12,283,49,1173,811,4,6,4,Noon
3243,2349,227,15,268,55,1148,781,4,6,4,3pm
3244,2353,239,15,256,59,1123,751,4,6,4,9am
3245,2362,266,20,247,68,1099,721,4,6,4,Noon
3246,2378,280,18,242,84,1074,691,4,6,4,3pm
3247,2384,81,11,240,90,1050,661,4,6,4,9am
3248,2368,102,26,242,74,1026,631,4,6,4,Noon
3249,2354,126,22,247,60,1003,601,4,6,4,3pm
3250,2347,144,20,256,53,979,571,4,6,4,9am
3251,2341,234,23,300,47,912,481,4,6,4,Noon
3252,2366,179,18,339,72,870,421,4,6,4,3pm
3253,2354,129,35,361,64,849,391,4,6,4,9am
3254,2330,123,41,361,230,828,361,4,3,4,Noon
3255,2309,125,40,339,209,807,331,4,3,4,3pm
3256,2287,128,39,319,187,787,301,4,3,4,9am
3257,2241,128,34,268,150,732,212,4,3,4,Noon
3258,2212,134,31,242,125,700,153,4,3,4,3pm
3259,2188,128,31,182,110,671,95,4,3,4,9am
3260,2172,115,36,153,94,658,67,4,3,4,Noon
3261,2149,108,37,124,77,646,42,4,3,4,3pm
3262,2090,105,31,42,18,618,67,4,3,4,9am
3263,2073,102,18,30,5,612,95,4,3,4,Noon
3264,2070,317,9,0,0,607,124,4,3,4,3pm
3265,2136,39,28,30,-3,564,636,3,10,4,9am
3266,2119,3,21,108,-1,524,607,3,10,4,Noon
3267,2118,19,20,124,11,518,603,3,10,4,3pm
3268,2193,265,36,108,75,592,677,3,10,4,9am
3269,2315,204,14,234,58,914,752,3,6,4,Noon
3270,2087,145,35,127,78,365,390,3,6,4,3pm
3271,2075,157,40,108,66,335,360,3,6,4,9am
3272,2796,278,18,272,121,2208,247,2,33,3,Noon
3273,2816,269,19,319,105,2256,306,2,33,3,3pm
3274,2947,179,27,150,29,255,792,5,13,3,9am
3275,2948,180,27,162,35,277,805,5,13,3,Noon
3276,2946,166,25,192,38,319,834,5,13,3,3pm
3277,2934,167,18,255,42,391,882,5,13,3,9am
3278,2906,130,11,240,51,616,1106,5,32,3,Noon
3279,2739,86,7,0,0,993,1477,6,23,3,3pm
3280,2814,228,20,150,52,997,1691,5,13,3,9am
3281,2882,286,17,350,83,938,1911,1,13,3,Noon
3282,2240,3,34,466,83,618,752,3,10,4,3pm
3283,2252,307,16,443,110,811,997,3,10,4,9am
3284,2075,292,9,0,0,1383,722,4,17,4,Noon
3285,2111,300,30,60,33,1409,730,3,10,4,3pm
3286,2336,235,6,342,42,1240,870,4,2,4,9am
3287,2336,200,8,324,42,1215,840,4,2,4,Noon
3288,2336,204,12,309,42,1190,810,4,2,4,3pm
3289,2350,251,20,285,56,1140,750,4,6,4,9am
3290,2377,253,16,272,83,1092,690,4,6,4,Noon
3291,2335,150,25,285,41,999,570,4,6,4,3pm
3292,2329,157,23,295,35,977,540,4,3,4,9am
3293,2325,189,19,309,31,955,510,4,3,4,Noon
3294,2346,224,28,342,52,912,450,4,6,4,3pm
3295,2353,172,21,361,59,891,420,4,6,4,9am
3296,2341,121,33,361,237,870,390,4,6,4,Noon
3297,2318,112,38,339,214,850,360,4,3,4,3pm
3298,2298,112,37,319,198,830,330,4,3,4,9am
3299,2243,129,34,258,143,774,240,4,3,4,Noon
3300,2228,130,33,242,128,757,210,4,3,4,3pm
3301,2214,131,31,228,123,741,180,4,3,4,9am
3302,2201,131,30,218,114,726,150,4,3,4,Noon
3303,2188,132,29,201,101,711,120,4,3,4,3pm
3304,2161,117,33,150,83,685,60,4,3,4,9am
3305,2103,108,32,60,31,655,30,4,3,4,Noon
3306,2072,68,8,0,0,641,90,4,3,4,3pm
3307,2148,240,34,60,45,591,674,3,10,4,9am
3308,2212,251,38,108,82,633,700,3,10,4,Noon
3309,2317,192,10,150,60,1003,824,3,6,4,3pm
3310,2294,113,32,108,65,1050,876,3,6,4,9am
3311,2074,131,34,108,65,361,391,3,6,4,Noon
3312,3248,224,14,212,26,3863,2605,7,23,1,3pm
3313,3271,169,8,420,95,3356,2912,1,23,1,9am
3314,2773,96,7,268,49,1739,430,1,31,3,Noon
3315,2932,177,26,150,24,277,845,5,13,3,3pm
3316,2929,167,21,212,37,350,890,5,13,3,9am
3317,2913,173,17,210,58,511,1040,5,13,3,Noon
3318,2806,111,30,153,51,819,1340,5,13,3,3pm
3319,2746,93,13,30,7,953,1466,6,23,3,9am
3320,2799,232,20,108,37,981,1677,5,13,3,Noon
3321,2339,180,1,361,-49,67,618,3,2,4,3pm
3322,2143,101,6,0,0,934,684,4,14,4,9am
3323,2144,357,12,30,-3,955,677,4,14,4,Noon
3324,2148,358,24,60,18,942,631,3,10,4,3pm
3325,2270,2,17,402,183,570,426,3,10,4,9am
3326,2328,286,12,446,44,1358,942,3,6,4,Noon
3327,2331,135,1,424,37,1333,960,4,2,4,3pm
3328,2329,191,12,384,35,1282,900,4,2,4,9am
3329,2331,185,15,350,37,1231,841,4,2,4,Noon
3330,2331,198,14,335,37,1207,811,4,2,4,3pm
3331,2334,234,18,323,40,1182,781,4,2,4,9am
3332,2346,255,25,313,52,1158,751,4,6,4,Noon
3333,2362,261,26,306,68,1134,721,4,6,4,3pm
3334,2368,125,29,300,74,1087,661,4,6,4,9am
3335,2331,133,30,306,37,1041,601,4,3,4,Noon
3336,2322,149,26,313,28,1019,571,4,3,4,3pm
3337,2315,164,24,323,21,997,541,4,3,4,9am
3338,2315,196,21,335,21,976,511,4,3,4,Noon
3339,2333,229,26,366,39,933,451,4,6,4,3pm
3340,2232,120,32,234,132,799,242,4,3,4,9am
3341,2216,124,31,216,116,782,212,4,3,4,Noon
3342,2202,129,30,201,102,767,182,4,3,4,3pm
3343,2139,101,32,108,61,702,42,4,3,4,9am
3344,2117,22,30,162,93,570,541,3,10,4,Noon
3345,2301,124,26,95,44,1068,882,3,6,4,3pm
3346,3233,210,9,127,11,3949,2583,7,23,1,9am
3347,3235,199,24,330,20,1930,3503,1,29,1,Noon
3348,2918,182,20,127,17,258,872,5,13,3,3pm
3349,2910,168,24,190,55,390,949,5,13,3,9am
3350,2903,174,22,180,48,469,1041,5,13,3,Noon
3351,2900,140,8,182,57,600,1168,5,13,3,3pm
3352,2785,114,26,120,30,832,1381,5,13,3,9am
3353,2759,109,18,60,13,886,1431,5,23,3,Noon
3354,2753,102,13,30,7,914,1456,5,23,3,3pm
3355,2153,158,24,0,0,900,741,4,14,4,9am
3356,2143,135,2,0,0,937,721,4,14,4,Noon
3357,2166,353,27,90,40,892,537,3,10,4,3pm
3358,2281,14,28,408,124,824,1019,3,10,4,9am
3359,2109,160,25,30,4,1376,789,4,1,4,Noon
3360,2106,194,23,30,7,1385,785,4,1,4,3pm
3361,2112,268,34,60,37,1463,789,3,10,4,9am
3362,2321,139,14,426,27,1323,932,4,2,4,Noon
3363,2319,183,19,391,25,1273,872,4,2,4,3pm
3364,2328,243,21,351,34,1200,782,4,2,4,9am
3365,2342,257,28,342,48,1176,752,4,6,4,Noon
3366,2360,251,25,335,66,1153,722,4,6,4,3pm
3367,2356,124,33,330,62,1106,663,4,6,4,9am
3368,2309,145,26,342,15,1040,573,4,3,4,Noon
3369,2304,211,20,362,10,997,514,4,3,4,3pm
3370,2325,243,23,366,212,955,454,4,3,4,9am
3371,2337,206,11,342,226,934,424,4,6,4,Noon
3372,2315,103,37,297,204,895,365,4,3,4,3pm
3373,2289,105,41,277,185,876,335,4,3,4,9am
3374,2264,109,39,255,160,858,306,4,3,4,Noon
3375,2224,115,32,212,124,824,247,4,3,4,3pm
3376,2179,126,27,162,79,778,162,4,3,4,9am
3377,2167,129,26,153,76,765,134,4,3,4,Noon
3378,2146,126,25,124,59,741,85,4,3,4,3pm
3379,2137,113,29,95,59,731,67,4,3,4,9am
3380,2095,98,31,42,17,713,67,4,3,4,Noon
3381,2078,97,16,30,2,706,85,4,3,4,3pm
3382,2078,279,9,0,0,700,108,4,4,4,9am
3383,2131,11,34,150,90,600,514,3,10,4,Noon
3384,2091,5,30,30,16,607,552,3,10,4,3pm
3385,2290,131,30,67,33,1080,907,3,6,4,9am
3386,2203,59,21,0,0,900,934,4,5,4,Noon
3387,2195,50,26,30,-2,870,904,4,5,4,3pm
3388,2162,73,27,0,0,810,845,4,5,4,9am
3389,2149,98,19,0,0,780,815,4,5,4,Noon
3390,2004,106,10,0,0,240,285,4,6,4,3pm
3391,1990,126,10,0,0,180,228,4,6,4,9am
3392,3256,73,16,182,29,4275,2458,7,38,1,Noon
3393,3237,130,8,95,10,4186,2496,7,38,1,3pm
3394,3231,158,8,42,4,4126,2522,7,38,1,9am
3395,2996,149,27,417,115,832,2657,1,29,1,Noon
3396,3018,330,17,134,30,180,1406,2,31,3,3pm
3397,2911,163,15,150,19,295,927,5,13,3,9am
3398,2907,155,17,170,23,323,942,5,13,3,Noon
3399,2899,158,20,162,44,362,973,5,13,3,3pm
3400,2894,161,14,153,54,582,1189,5,13,3,9am
3401,2889,141,15,162,53,607,1211,5,13,3,Noon
3402,2780,105,21,108,25,819,1398,5,13,3,3pm
3403,2758,89,16,60,12,875,1448,5,23,3,9am
3404,2367,256,23,457,7,228,731,3,10,4,Noon
3405,2145,144,9,0,0,907,780,4,14,4,3pm
3406,2177,1,23,95,38,1026,664,3,10,4,9am
3407,2241,333,27,180,129,741,297,3,10,4,Noon
3408,2307,358,29,365,150,726,779,3,10,4,3pm
3409,2304,359,31,360,147,757,837,3,10,4,9am
3410,2308,354,29,360,151,792,895,3,10,4,Noon
3411,2107,242,24,0,0,1418,812,4,1,4,3pm
3412,2100,76,27,30,19,1430,811,4,1,4,9am
3413,2108,274,33,60,31,1448,819,3,10,4,Noon
3414,2151,279,33,120,75,1463,830,3,10,4,3pm
3415,2310,286,28,391,225,1466,942,3,10,4,9am
3416,2317,109,17,450,23,1340,934,4,2,4,Noon
3417,2310,145,15,433,16,1315,904,4,2,4,3pm
3418,2310,202,17,402,16,1266,845,4,2,4,9am
